timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1775548875.3999,42,44,43,42,42,41,43,44,42,43,43,43
1775548875.6002,42,44,43,42,42,41,43,44,42,43,43,43
1775548875.8006,42,44,43,42,42,41,43,44,43,43,43,43
1775548876.0010,42,44,43,42,42,41,43,44,43,43,43,43
1775548876.2014,42,44,43,42,42,41,43,44,43,43,43,43
1775548876.4018,42,44,43,42,42,41,43,44,42,43,43,43
1775548876.6021,42,44,43,42,42,41,43,44,42,43,43,43
1775548876.8025,42,44,43,42,42,41,43,44,42,43,43,43
1775548877.0027,42,44,43,42,42,41,43,44,42,43,43,43
1775548877.2034,42,44,43,42,42,41,43,44,43,43,43,43
1775548877.4041,42,44,43,42,42,41,43,44,42,43,43,43
1775548877.6043,42,44,43,42,42,41,43,44,43,43,43,43
1775548877.8046,42,44,43,42,42,41,43,44,43,43,43,43
1775548878.0048,42,44,43,42,42,41,43,44,42,43,43,43
1775548878.2051,42,44,43,42,42,41,43,44,43,43,43,43
1775548878.4057,42,44,43,42,42,41,43,44,42,43,43,43
1775548878.6060,42,44,43,42,42,41,43,44,42,43,43,43
1775548878.8063,42,44,43,42,42,41,43,44,43,43,43,43
1775548879.0066,42,44,43,42,42,41,43,44,42,43,43,43
1775548879.2068,42,44,43,42,42,41,43,44,42,43,43,43
1775548879.4071,42,44,43,42,42,41,43,44,42,43,43,43
1775548879.6074,42,44,43,42,42,41,43,44,42,43,43,43
1775548879.8079,42,44,43,42,42,41,43,44,42,43,43,43
1775548880.0084,42,44,43,42,42,41,43,44,43,43,43,43
1775548880.2086,42,44,43,42,42,41,43,44,43,43,43,43
1775548880.4089,42,44,43,42,42,41,43,44,42,43,43,43
1775548880.6092,42,44,43,42,42,41,43,44,42,43,43,43
1775548880.8094,42,44,43,42,42,41,43,44,43,43,43,43
1775548881.0097,42,44,43,42,42,41,43,44,43,43,43,43
1775548881.2100,42,44,43,42,42,41,43,44,42,43,43,43
1775548881.4103,42,44,43,42,42,41,43,44,43,43,43,43
1775548881.6107,42,44,43,42,42,41,43,44,43,43,43,43
1775548881.8111,42,44,43,42,42,41,43,44,42,43,43,43
1775548882.0115,42,44,43,42,42,41,43,44,42,43,43,43
1775548882.2118,42,44,43,42,42,41,43,44,42,43,43,43
1775548882.4123,42,44,43,42,42,41,43,44,42,43,43,43
1775548882.6127,42,44,43,42,42,41,43,44,42,43,43,43
1775548882.8132,42,44,43,42,42,41,43,44,43,43,43,43
1775548883.0135,42,44,43,42,42,41,43,44,42,43,43,43
1775548883.2137,42,44,43,42,42,41,43,44,42,43,43,43
1775548883.4145,42,44,43,42,42,41,43,44,42,43,43,43
1775548883.6151,42,44,43,42,42,41,43,44,42,43,43,43
1775548883.8159,42,44,43,42,42,41,43,44,42,43,43,43
1775548884.0165,42,44,43,42,42,41,43,44,42,43,43,43
1775548884.2168,42,44,43,42,42,41,43,44,43,43,43,43
1775548884.4171,42,44,43,42,42,41,43,44,43,43,43,43
1775548884.6173,42,44,43,42,42,41,43,44,42,43,43,43
1775548884.8177,42,44,43,42,42,41,43,44,42,43,43,43
1775548885.0181,42,44,43,42,42,41,43,44,42,43,43,43
1775548885.2183,42,44,43,42,42,41,43,44,42,43,43,43
1775548885.4187,42,44,43,42,42,41,43,44,42,43,43,43
1775548885.6190,42,44,43,42,42,41,43,44,42,43,43,43
1775548885.8192,42,44,43,42,42,41,43,44,42,43,43,43
1775548886.0198,42,44,43,42,42,41,43,44,42,43,43,43
1775548886.2205,42,44,43,42,42,41,43,44,42,43,43,43
1775548886.4208,42,44,43,42,42,41,43,44,42,43,43,43
1775548886.6228,42,44,43,42,42,41,43,44,42,43,43,43
1775548886.8235,42,44,43,42,42,41,43,44,42,43,43,43
1775548887.0238,42,44,43,42,42,41,43,44,43,43,43,43
1775548887.2250,42,44,43,42,42,41,43,44,43,43,43,43
1775548887.4252,42,44,43,42,42,41,43,44,43,43,43,43
1775548887.6257,42,44,43,42,42,41,43,44,42,43,43,43
1775548887.8260,42,44,43,42,42,41,43,44,43,43,43,43
1775548888.0261,42,44,43,42,42,41,43,44,42,43,43,43
1775548888.2264,42,44,43,42,42,41,43,44,42,43,43,43
1775548888.4267,42,44,43,42,42,41,43,44,42,43,43,43
1775548888.6271,42,44,43,42,42,41,43,44,42,43,43,43
1775548888.8280,42,44,43,42,42,41,43,44,42,43,43,43
1775548889.0284,42,44,43,42,42,41,43,44,43,43,43,43
1775548889.2303,42,44,43,42,42,41,43,44,42,43,43,43
1775548889.4306,42,44,43,42,42,41,43,44,42,43,43,43
1775548889.6341,42,44,43,42,42,41,43,44,42,43,43,43
1775548889.8343,42,44,43,42,42,41,43,44,42,43,43,43
1775548890.0346,42,44,43,42,42,41,43,44,42,43,43,43
1775548890.2348,42,44,43,42,42,41,43,44,42,43,43,43
1775548890.4351,42,44,43,42,42,41,43,44,42,43,43,43
