timestamp_s,m1_a,m2_a,m3_a,m4_a,m5_a,m6_a,m7_a,m8_a,m9_a,m10_a,m11_a,m12_a
1777925243.4024,1.5,2.44,1.02,3.11,2.98,0.75,1.46,0.64,-0.25,2.47,2.39,-0.07
1777925243.6027,1.64,2.41,1.11,3.11,3.12,0.81,1.42,0.65,-0.29,2.49,2.31,0.0
1777925243.8030,1.59,2.37,1.02,3.07,3.04,0.89,1.44,0.64,-0.24,2.48,2.38,0.0
1777925244.0033,1.7,2.41,0.99,3.09,2.93,0.79,1.42,0.67,-0.29,2.52,2.4,0.0
1777925244.2039,1.63,2.46,1.01,3.07,2.98,0.8,1.43,0.68,-0.37,2.46,2.33,-0.02
1777925244.4042,1.74,2.36,1.12,3.05,2.97,0.79,1.45,0.62,-0.22,2.55,2.33,-0.08
1777925244.6045,1.62,2.4,1.12,3.07,2.96,0.77,1.47,0.63,-0.28,2.47,2.36,-0.03
1777925244.8047,1.54,2.35,1.08,3.1,2.99,0.87,1.45,0.64,-0.31,2.48,2.26,-0.03
1777925245.0050,1.62,2.39,1.15,3.1,3.0,0.71,1.45,0.63,-0.29,2.49,2.34,-0.06
1777925245.2053,1.61,2.42,1.08,3.05,2.94,0.81,1.5,0.64,-0.29,2.48,2.33,-0.04
1777925245.4056,1.7,2.4,1.16,3.08,3.05,0.71,1.44,0.63,-0.27,2.48,2.3,-0.06
1777925245.6058,1.66,2.34,1.12,3.06,3.03,0.78,1.4,0.64,-0.14,2.47,2.35,-0.06
1777925245.8065,1.65,2.35,1.1,3.12,3.15,0.73,1.54,0.64,-0.28,2.47,2.32,-0.03
1777925246.0067,1.55,2.35,1.07,3.12,3.05,0.81,1.4,0.65,-0.26,2.49,2.33,-0.04
1777925246.2073,1.56,2.45,1.09,3.14,3.09,0.8,1.42,0.66,-0.19,2.49,2.38,-0.04
1777925246.4076,1.58,2.47,1.15,3.1,2.99,0.79,1.38,0.64,-0.12,2.52,2.33,-0.05
1777925246.6079,1.6,2.38,1.12,3.06,3.06,0.72,1.47,0.67,0.15,2.47,2.33,-0.04
1777925246.8082,1.54,2.35,1.23,3.07,3.1,0.71,1.4,0.67,0.29,2.47,2.34,-0.05
1777925247.0084,1.63,2.35,1.12,3.08,3.03,0.68,1.5,0.63,-0.28,2.47,2.34,-0.02
1777925247.2089,1.77,2.4,1.1,3.07,3.08,0.79,1.38,0.65,0.18,2.48,2.34,-0.02
1777925247.4092,1.61,2.44,1.09,3.12,3.09,0.71,1.48,0.66,-0.24,2.43,2.29,-0.04
1777925247.6095,1.53,2.42,1.09,3.09,2.92,0.76,1.39,0.67,-0.25,2.45,2.38,-0.04
1777925247.8098,1.55,2.42,1.16,3.11,3.05,0.79,1.42,0.64,0.1,2.44,2.36,-0.02
1777925248.0104,1.59,2.41,1.15,3.14,3.03,0.73,1.43,0.66,-0.27,2.53,2.4,-0.05
1777925248.2108,1.58,2.38,1.03,3.12,3.06,0.78,1.46,0.64,0.11,2.46,2.37,-0.01
1777925248.4113,1.68,2.37,1.26,3.13,3.05,0.73,1.46,0.68,-0.31,2.45,2.38,-0.02
1777925248.6117,1.54,2.29,1.37,3.1,3.01,0.75,1.44,0.68,-0.22,2.48,2.33,-0.08
1777925248.8123,1.52,2.43,1.06,3.16,3.09,0.75,1.42,0.65,0.07,2.46,2.32,-0.08
1777925249.0125,1.62,2.43,1.12,3.07,3.13,0.78,1.46,0.65,-0.21,2.49,2.29,-0.02
1777925249.2128,1.69,2.39,1.18,3.08,3.0,0.82,1.42,0.66,0.19,2.47,2.37,-0.07
1777925249.4131,1.59,2.4,1.22,3.11,3.1,-0.91,1.53,0.66,-0.3,2.45,2.29,-0.01
1777925249.6133,1.62,2.46,1.18,3.06,3.06,0.86,1.5,0.68,-0.28,2.45,2.44,0.0
1777925249.8143,1.55,2.42,1.21,3.09,2.93,0.77,1.41,0.68,0.14,2.43,2.46,-0.02
1777925250.0146,1.66,2.42,1.17,3.07,3.02,0.83,1.45,0.65,-0.23,2.47,2.28,-0.03
1777925250.2151,1.5,2.37,1.23,3.1,3.06,0.82,1.41,0.67,0.1,2.47,2.34,-0.01
1777925250.4153,1.63,2.57,0.98,3.14,3.16,0.74,1.53,0.67,0.15,2.46,2.33,-0.02
1777925250.6156,1.63,2.45,1.19,3.1,3.08,-0.83,1.47,0.67,0.12,2.44,2.31,-0.06
1777925250.8158,1.54,2.41,1.18,3.07,3.1,0.77,1.39,0.69,-0.24,2.46,2.29,-0.05
1777925251.0161,1.56,2.41,1.02,3.11,3.06,0.73,1.45,0.67,-0.32,2.45,2.33,-0.04
1777925251.2163,1.63,2.39,1.21,3.15,3.01,0.74,1.49,0.65,-0.32,2.47,2.4,0.01
1777925251.4167,1.66,2.41,1.18,3.15,3.08,0.75,1.39,0.67,-0.34,2.46,2.29,-0.06
1777925251.6170,1.6,2.46,1.22,3.09,3.14,0.66,1.39,0.67,-0.29,2.47,2.33,-0.03
1777925251.8172,1.53,2.45,1.21,3.15,3.13,0.91,1.5,0.68,-0.24,2.43,2.3,-0.06
1777925252.0175,1.51,2.42,1.06,3.09,3.09,0.79,1.49,0.68,-0.35,2.5,2.36,-0.02
1777925252.2178,1.51,2.33,1.18,3.17,3.06,0.74,1.5,0.68,-0.23,2.47,2.32,-0.03
1777925252.4182,1.62,2.42,1.14,3.04,3.01,0.8,1.43,0.68,-0.19,2.52,2.3,-0.02
1777925252.6185,1.69,2.47,1.13,3.09,3.06,0.73,1.45,0.65,-0.19,2.47,2.4,-0.06
1777925252.8187,1.49,2.5,1.14,3.04,3.06,0.64,1.46,0.67,-0.2,2.48,2.33,-0.03
1777925253.0191,1.62,2.43,1.19,3.05,3.04,0.78,1.4,0.66,0.13,2.51,2.36,0.0
1777925253.2196,1.55,2.47,1.0,3.18,3.1,0.82,1.5,0.68,-0.23,2.48,2.41,-0.05
1777925253.4199,1.63,2.63,1.13,3.11,3.08,0.73,1.5,0.66,-0.22,2.51,2.4,-0.03
1777925253.6201,1.53,2.4,1.23,3.08,3.13,0.85,1.41,0.66,-0.27,2.46,2.44,-0.02
1777925253.8204,1.61,2.39,1.15,3.1,3.03,0.84,1.43,0.64,-0.36,2.52,2.41,-0.07
1777925254.0207,1.52,2.37,1.08,3.12,3.03,0.83,1.45,0.66,-0.33,2.44,2.37,0.0
1777925254.2212,1.53,2.42,1.13,3.1,3.1,0.74,1.43,0.68,-0.26,2.47,2.48,-0.04
1777925254.4215,1.69,2.36,1.08,3.12,3.14,0.81,1.41,0.67,-0.32,2.5,2.38,-0.04
1777925254.6217,1.64,2.48,1.19,3.1,3.03,0.87,1.51,0.66,-0.36,2.46,2.44,-0.05
1777925254.8220,1.48,2.38,1.23,3.13,3.12,0.65,1.45,0.67,-0.28,2.49,2.32,-0.01
1777925255.0223,1.63,2.47,1.23,3.15,3.1,0.83,1.45,0.65,-0.24,2.46,2.39,-0.09
1777925255.2227,1.7,2.43,1.1,3.12,3.04,0.64,1.41,0.68,0.17,2.44,2.41,0.0
1777925255.4229,1.66,2.45,1.12,3.08,3.05,0.67,1.44,0.68,0.2,2.51,2.49,-0.02
1777925255.6232,1.65,2.39,1.16,3.09,3.13,0.7,1.4,0.68,0.15,2.44,2.41,-0.02
1777925255.8234,1.74,2.45,1.11,3.13,3.07,0.82,1.49,0.66,-0.22,2.5,2.4,-0.01
1777925256.0237,1.69,2.45,1.12,3.17,2.94,0.76,1.49,0.66,0.14,2.47,2.36,-0.02
1777925256.2240,1.64,2.42,1.11,3.14,3.11,0.75,1.5,0.65,-0.21,2.44,2.47,-0.04
1777925256.4248,1.59,2.39,1.13,3.08,2.97,0.83,1.5,0.66,-0.33,2.48,2.43,-0.01
1777925256.6251,1.67,2.36,1.09,3.1,3.02,0.66,1.48,0.67,-0.28,2.47,2.44,-0.06
1777925256.8253,1.43,2.43,1.1,3.12,3.22,0.76,1.47,0.68,-0.29,2.46,2.44,-0.05
1777925257.0256,1.62,2.4,1.1,3.05,3.11,0.77,1.39,0.68,0.17,2.5,2.43,-0.04
1777925257.2258,1.68,2.42,1.13,3.14,2.92,0.81,1.49,0.67,-0.2,2.48,2.39,-0.04
1777925257.4263,1.61,2.37,1.07,3.13,3.07,0.89,1.41,0.67,-0.26,2.47,2.45,-0.02
1777925257.6269,1.59,2.35,1.05,3.09,3.09,0.82,1.45,0.68,0.2,2.46,2.35,-0.01
1777925257.8272,1.57,2.38,1.17,3.13,3.11,0.8,1.46,0.68,-0.33,2.44,2.34,0.01
1777925258.0274,1.56,2.33,1.07,3.11,2.99,0.72,1.5,0.66,-0.29,2.5,2.37,-0.05
1777925258.2277,1.41,2.42,1.2,3.11,2.8,0.87,1.41,0.68,0.23,2.53,2.46,-0.02
1777925258.4279,1.6,2.45,1.1,3.08,3.04,0.71,1.46,0.65,-0.25,2.47,2.35,-0.03
1777925258.6287,1.53,2.39,1.14,3.09,2.99,0.74,1.4,0.67,-0.24,2.54,2.36,-0.07
1777925258.8289,1.67,2.46,1.05,3.03,2.98,0.82,1.46,0.68,0.16,2.48,2.27,-0.04
1777925259.0293,1.54,2.39,0.96,3.19,2.93,0.76,1.51,0.67,-0.27,2.47,2.38,-0.03
1777925259.2296,1.55,2.49,1.07,3.12,3.04,0.8,1.48,0.66,-0.17,2.45,2.36,-0.05
1777925259.4299,1.53,2.51,1.08,3.1,2.94,0.78,1.38,0.67,-0.23,2.44,2.37,-0.04
1777925259.6304,1.53,2.4,1.19,3.07,3.05,0.82,1.47,0.68,0.18,2.52,2.34,-0.02
1777925259.8308,1.58,2.52,1.18,3.14,3.05,0.66,1.36,0.66,0.17,2.44,2.33,-0.01
1777925260.0313,1.6,2.46,1.14,3.08,2.97,0.68,1.44,0.67,0.16,2.48,2.34,-0.03
1777925260.2316,1.56,2.5,0.99,3.1,2.97,0.83,1.5,0.67,0.19,2.48,2.36,-0.02
1777925260.4320,1.57,2.41,1.13,3.11,3.0,-0.89,1.45,0.67,-0.22,2.51,2.33,-0.02
1777925260.6323,1.71,2.4,1.11,3.07,3.12,0.78,1.41,0.68,0.14,2.48,2.33,-0.07
1777925260.8326,1.61,2.46,1.15,3.09,3.0,0.78,1.37,0.68,0.17,2.51,2.47,-0.06
1777925261.0328,1.64,2.37,1.23,3.11,3.01,0.79,1.44,0.69,-0.22,2.41,2.3,-0.01
1777925261.2331,1.56,2.33,1.2,3.05,3.03,0.76,1.43,0.67,-0.21,2.51,2.3,-0.05
1777925261.4334,1.63,2.41,1.16,3.06,2.99,0.69,1.4,0.67,-0.2,2.48,2.42,0.01
1777925261.6340,1.54,2.39,1.2,3.08,3.02,0.78,1.48,0.66,-0.19,2.47,2.37,0.0
1777925261.8344,1.61,2.45,1.16,3.05,2.94,0.74,1.44,0.68,-0.29,2.49,2.25,-0.05
1777925262.0348,1.48,2.38,1.15,3.14,3.02,0.79,1.42,0.66,-0.27,2.51,2.35,-0.04
1777925262.2351,1.54,2.43,1.07,3.12,3.0,0.78,1.45,0.63,-0.25,2.48,2.35,-0.03
1777925262.4354,1.67,2.42,1.12,3.12,2.93,0.82,1.46,0.68,-0.31,2.49,2.33,-0.03
1777925262.6357,1.49,2.32,1.12,3.06,2.93,0.78,1.42,0.65,0.2,2.44,2.35,-0.05
1777925262.8361,1.64,2.47,1.0,3.06,3.05,0.74,1.48,0.65,-0.28,2.48,2.27,-0.06
1777925263.0364,1.61,2.34,1.07,3.14,3.03,0.82,1.5,0.67,0.19,2.45,2.31,-0.03
1777925263.2374,1.58,2.39,1.19,3.11,3.06,0.77,1.43,0.69,-0.23,2.52,2.37,-0.06
1777925263.4378,1.47,2.38,1.09,3.1,2.94,0.78,1.49,0.68,-0.28,2.48,2.36,-0.07
1777925263.6380,1.71,2.35,1.03,3.12,3.06,0.73,1.47,0.69,0.13,2.48,2.36,-0.05
1777925263.8386,1.53,2.44,1.19,3.07,3.08,0.8,1.49,0.69,-0.27,2.48,2.37,-0.04
1777925264.0389,1.51,2.35,1.04,3.04,2.97,0.85,1.45,0.66,0.19,2.48,2.48,-0.03
1777925264.2392,1.66,2.43,1.08,3.09,3.04,0.81,1.49,0.68,-0.22,2.46,2.45,-0.03
1777925264.4395,1.59,2.42,1.13,3.08,3.09,0.69,1.43,0.67,-0.26,2.52,2.39,-0.02
1777925264.6397,1.56,2.43,1.11,3.14,2.99,0.75,1.49,0.67,-0.22,2.48,2.3,-0.01
1777925264.8400,1.52,2.46,1.07,3.07,3.04,0.75,1.46,0.7,-0.26,2.46,2.41,-0.01
1777925265.0404,1.5,2.36,1.14,3.08,3.05,0.84,1.45,0.67,-0.25,2.47,2.41,-0.05
1777925265.2407,1.63,2.4,1.07,3.06,3.07,0.81,1.51,0.65,-0.28,2.45,2.44,-0.03
1777925265.4410,1.63,2.35,1.02,3.07,3.09,0.63,1.45,0.66,-0.16,2.47,2.33,-0.06
1777925265.6412,1.55,2.38,1.28,3.08,3.08,0.73,1.46,0.69,-0.18,2.48,2.51,-0.06
1777925265.8417,1.72,2.45,1.09,3.12,3.01,0.8,1.45,0.67,-0.24,2.47,2.31,-0.04
1777925266.0420,1.62,2.27,1.02,3.16,2.98,0.77,1.45,0.65,-0.19,2.48,2.37,-0.02
1777925266.2423,1.54,2.33,0.99,3.09,3.02,0.77,1.51,0.68,-0.24,2.49,2.41,-0.05
1777925266.4425,1.69,2.42,1.02,3.15,2.96,0.76,1.5,0.67,0.15,2.47,2.46,-0.04
1777925266.6428,1.65,2.38,1.07,3.12,3.03,0.82,1.42,0.66,-0.25,2.44,2.33,0.01
1777925266.8430,1.62,2.43,1.07,3.14,2.96,0.75,1.44,0.66,-0.29,2.46,2.39,-0.03
1777925267.0433,1.54,2.44,1.14,3.17,3.1,0.68,1.51,0.68,-0.21,2.48,2.39,-0.06
1777925267.2436,1.51,2.46,1.07,3.16,2.95,0.72,1.4,0.66,-0.21,2.45,2.4,-0.03
1777925267.4438,1.54,2.33,1.14,3.14,3.06,0.82,1.45,0.66,-0.13,2.51,2.29,-0.02
1777925267.6441,1.6,2.4,1.22,3.11,3.02,0.74,1.46,0.66,-0.29,2.5,2.44,-0.03
1777925267.8443,1.54,2.33,1.11,3.15,3.07,0.78,1.45,0.69,-0.23,2.46,2.41,-0.05
1777925268.0446,1.54,2.43,1.09,3.05,2.93,0.72,1.46,0.68,-0.21,2.48,2.43,-0.02
1777925268.2448,1.52,2.46,1.02,3.12,2.98,0.79,1.39,0.68,-0.29,2.48,2.51,-0.06
