timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777887587.7138,44,44,48,41,42,42,43,45,44,43,43,45
1777887587.9141,44,44,48,41,42,42,43,45,44,43,43,46
1777887588.1147,44,44,48,41,42,42,43,45,44,43,43,46
1777887588.3150,44,44,48,41,42,42,43,45,44,43,43,46
1777887588.5153,44,43,48,41,42,42,43,45,44,43,43,45
1777887588.7156,44,44,48,41,42,42,43,45,44,43,43,45
1777887588.9158,44,44,48,41,42,42,43,45,45,43,43,45
1777887589.1161,44,44,48,41,42,42,43,45,45,43,43,45
1777887589.3164,44,44,48,42,42,42,43,45,45,43,43,45
1777887589.5166,44,44,48,42,42,42,43,45,45,43,43,45
1777887589.7169,44,44,48,42,42,42,43,45,44,43,43,46
1777887589.9171,44,44,48,42,42,42,43,45,45,43,43,46
1777887590.1174,44,44,48,42,42,42,43,45,45,43,43,46
1777887590.3177,44,44,48,42,42,42,43,45,45,43,43,46
1777887590.5179,44,44,48,42,42,42,43,45,45,43,43,46
1777887590.7182,44,44,48,42,42,42,43,45,45,43,43,46
1777887590.9184,44,44,48,42,42,42,43,45,45,43,43,46
1777887591.1187,44,44,48,42,42,42,43,45,45,43,43,46
1777887591.3191,44,44,48,42,42,42,43,45,45,43,43,46
1777887591.5193,44,44,48,42,42,42,43,45,45,43,43,46
1777887591.7196,44,44,48,42,42,42,43,45,45,43,43,46
1777887591.9199,44,44,48,42,42,42,43,45,45,43,43,46
1777887592.1202,44,44,48,42,42,42,43,45,45,43,43,46
1777887592.3204,44,44,48,42,42,42,43,45,45,43,43,46
1777887592.5207,44,44,48,42,42,42,43,45,45,43,43,46
1777887592.7209,44,44,48,42,42,42,43,45,45,43,43,46
1777887592.9212,44,44,48,42,42,42,43,45,45,43,43,46
1777887593.1215,44,44,48,42,42,42,43,45,45,43,43,46
1777887593.3221,44,44,48,42,42,42,43,45,45,43,43,46
1777887593.5224,44,44,48,42,42,42,43,45,45,43,43,46
1777887593.7226,44,44,48,42,42,42,43,45,45,43,43,46
1777887593.9229,44,44,48,42,42,42,43,45,45,43,43,46
1777887594.1231,44,44,48,42,42,42,43,45,45,43,43,46
